stage,feature_count,mae,rmse,spearman_r
baseline_core,7,4.2227,5.4234,0.6073
plus_recent_form,13,3.8045,5.123,0.6794
plus_track_weather,27,4.0273,5.1962,0.6914
plus_telemetry_history,37,2.8295,3.789,0.9381
ensemble,78,0.7161,1.5848,0.9706
two_stage,78,0.8163,1.7127,0.9748
rankblend,78,1.0438,1.9716,0.961
